name,braid
10_115,"[1,-2,1,3,2,2,-4,-3,2,-3,-3,-4]"
10_116,"[-1,-1,2,-1,-1,2,-1,2,-1,2]"
10_117,"[-1,-1,-2,-2,3,-2,1,-2,3,-2,3]"
10_118,"[1,1,-2,1,-2,1,-2,-2,1,-2]"
10_119,"[1,1,-2,1,3,-2,1,-2,-3,-3,-2]"
10_120,"[1,1,2,-1,-3,-2,1,4,3,2,2,3,3,4]"
10_121,"[1,1,2,-3,2,-1,2,-3,2,-3,2]"
10_122,"[-1,-1,-2,3,-2,1,3,-2,3,-2,3]"
10_123,"[1,-2,1,-2,1,-2,1,-2,1,-2]"
10_124,"[1,1,1,1,1,2,1,1,1,2]"
10_125,"[-1,-1,-1,-1,-1,2,1,1,1,2]"
10_126,"[-1,-1,-1,-1,-1,-2,1,1,1,-2]"
10_127,"[1,1,1,1,1,2,-1,-1,2,2]"
10_128,"[1,1,1,2,1,1,2,2,3,-2,3]"
10_129,"[-1,-1,-1,2,1,1,-3,2,1,-3,2]"
10_130,"[1,1,1,-2,-1,-1,-2,-2,-3,2,-3]"
10_131,"[1,1,1,2,-1,-1,2,2,3,-2,3]"
10_132,"[1,1,1,-2,-1,-1,-2,-3,2,-3,-3]"
10_133,"[1,1,1,2,-1,-1,2,3,-2,3,3]"
10_134,"[1,1,1,2,1,1,2,3,-2,3,3]"
10_135,"[-1,-1,-1,-2,1,-2,3,2,2,2,3]"
10_136,"[-1,2,-1,2,3,-2,-2,-4,3,-4]"
10_137,"[1,-2,1,-2,3,2,2,-4,3,-4]"
10_138,"[-1,2,-1,2,3,2,2,-4,3,-4]"
10_139,"[1,1,1,1,2,1,1,1,2,2]"
10_140,"[-1,-1,-1,2,1,1,1,2,3,-2,3]"
10_141,"[-1,-1,-1,-1,2,1,1,1,2,2]"
10_142,"[1,1,1,2,1,1,1,2,3,-2,3]"
10_143,"[-1,-1,-1,-1,-2,1,1,1,-2,-2]"
10_144,"[1,1,2,-1,2,1,-3,2,1,-3,-2]"
10_145,"[-1,-1,-2,1,-2,-1,-3,-2,1,-2,-3]"
10_146,"[-1,-1,2,-1,2,1,-3,2,-1,2,-3]"
10_147,"[1,1,1,-2,1,-2,-3,2,-1,2,-3]"
10_148,"[-1,-1,-1,-1,-2,1,1,-2,1,-2]"
10_149,"[1,1,1,1,2,-1,2,-1,2,2]"
10_150,"[1,1,1,-2,1,1,3,-2,-1,3,2]"
10_151,"[-1,-1,-1,-2,1,1,-3,2,-1,-3,2]"
10_152,"[1,1,1,2,2,1,1,2,2,2]"
10_153,"[-1,-1,-1,-2,-1,-1,3,2,2,2,3]"
10_154,"[1,1,2,-1,2,1,3,2,2,2,3]"
10_155,"[-1,-1,-1,-2,1,1,-2,1,1,-2]"
10_156,"[-1,-1,-1,2,1,1,-3,-2,1,-2,-3]"
10_157,"[-1,-1,-1,-2,-2,1,-2,1,-2,-2]"
10_158,"[-1,-1,-1,-2,1,1,3,2,-1,2,3]"
10_159,"[1,1,1,2,-1,2,-1,-1,2,2]"
10_160,"[1,1,1,2,1,1,-3,2,-1,2,-3]"
10_161,"[1,1,1,2,-1,2,1,1,2,2]"
10_162,"[-1,-1,-2,1,1,-2,-2,-1,3,-2,3]"
10_163,"[1,1,-2,-1,-1,3,2,-1,2,2,3]"
10_164,"[1,1,-2,1,-2,-2,-3,2,-1,2,-3]"
10_165,"[-1,-1,-2,1,3,-2,1,-2,-3,-3,-2]"
11a_1,"[1,1,1,2,-1,2,2,-3,2,-3,-2,-4,3,-4]"
11a_2,"[1,1,-2,1,3,3,2,2,3,-4,3,-4]"
11a_3,"[-1,-1,-1,2,2,-1,-1,2,-3,2,-3]"
11a_4,"[-1,-1,-1,-2,1,3,3,-2,3,-4,3,-4]"
11a_5,"[-1,2,-1,2,2,3,-2,-4,-3,-3,5,-4,5]"
11a_6,"[-1,2,-1,2,2,3,3,-2,3,-4,3,-4]"
11a_7,"[-1,-1,-1,-1,2,2,-1,2,-3,2,-3]"
11a_8,"[-1,-1,-2,1,-2,3,3,-2,3,-4,3,-4]"
11a_9,"[-1,2,-1,2,-3,2,2,2,2,2,-3]"
11a_10,"[1,1,2,-1,2,2,2,-3,2,-3,-2,-4,3,-4]"
11a_11,"[-1,-1,2,-1,2,3,3,-2,3,-4,3,-4]"
11a_12,"[-1,2,-1,2,2,3,-2,-4,3,3,3,-4]"
11a_13,"[-1,2,-1,2,2,3,-2,3,4,-3,-5,4,-5]"
11a_14,"[1,1,-2,-2,1,-2,3,-2,-2,3,3]"
11a_15,"[1,1,-2,-2,1,-2,3,-2,-2,-2,3]"
11a_16,"[1,1,-2,-2,1,-2,-2,-3,2,4,-3,4]"
11a_17,"[1,1,-2,1,3,2,2,-4,-3,-3,5,-4,5]"
11a_18,"[-1,-1,2,-1,-3,2,2,4,3,3,3,4]"
11a_19,"[1,1,-2,1,-2,1,3,-2,-2,3,3]"
11a_20,"[1,1,-2,1,3,2,2,-4,3,3,3,-4]"
11a_21,"[1,1,-2,1,3,2,2,3,4,-3,-5,4,-5]"
11a_22,"[1,1,1,-2,1,1,3,-2,-2,3,3]"
11a_23,"[1,1,1,2,-1,-3,2,4,-3,-3,4,4]"
11a_24,"[1,1,1,2,-1,-1,3,-2,-2,3,-2,3,-2]"
11a_25,"[1,1,1,2,-1,-1,3,-2,3,-2,3,3,-2]"
11a_26,"[1,1,-2,-2,1,3,-2,-2,3,-2,3]"
11a_27,"[-1,-1,-1,-2,1,3,-2,3,-2,-4,3,-4]"
11a_28,"[-1,-1,2,-1,2,2,2,-1,-3,2,-3]"
11a_29,"[-1,-1,2,-1,2,-1,3,-2,-1,-4,3,2,-4,3]"
11a_30,"[1,1,2,-1,2,-3,-2,1,-2,-2,3,-4,3,-4]"
11a_31,"[1,1,-2,1,3,2,2,3,3,-4,3,-4]"
11a_32,"[-1,-1,2,-1,2,-3,2,4,3,3,3,4]"
11a_33,"[1,1,-2,-2,1,-2,-2,-2,3,-2,3]"
11a_34,"[1,1,1,-2,1,-2,3,-2,-2,3,3]"
11a_35,"[1,1,-2,1,-2,-2,3,-2,-2,3,3]"
11a_36,"[-1,-1,-1,-2,1,-2,-2,-3,2,4,3,3,3,4]"
11a_37,"[1,1,2,-1,-3,2,-3,4,-3,-3,4,4]"
11a_38,"[-1,-1,-2,1,-3,2,1,-3,-3,2,4,-3,2,4]"
11a_39,"[-1,-1,-1,2,-1,-3,2,4,3,3,3,4]"
11a_40,"[1,1,1,1,-2,1,3,-2,-2,3,3]"
11a_41,"[1,1,2,-1,2,-3,2,4,-3,-3,4,4]"
11a_42,"[1,1,2,-1,2,1,-3,2,4,-3,-5,4,-5]"
11a_43,"[1,1,2,-1,2,1,-3,2,4,3,3,3,4,4]"
11a_44,"[-1,-1,-1,-1,-2,-2,1,3,2,2,2,3,3]"
11a_45,"[1,1,-2,1,3,2,2,-4,3,-4,-5,4,-5]"
11a_46,"[1,1,-2,1,-2,-3,2,4,-3,-3,4,4]"
11a_47,"[1,1,-2,-2,1,3,-2,-2,-2,3,3]"
11a_48,"[-1,-1,-1,-2,1,-2,3,-2,-2,-4,3,-4]"
11a_49,"[1,1,1,-2,1,1,3,2,2,-4,3,-4]"
11a_50,"[1,1,1,2,-1,-3,2,4,3,3,-5,4,-5]"
11a_51,"[-1,2,-1,-3,2,4,-3,-3,-5,4,-5]"
11a_52,"[1,1,1,2,-1,2,-3,2,-3,-3,-2,-4,3,-4]"
11a_53,"[-1,-1,-1,-1,2,-1,2,-1,-3,2,-3]"
11a_54,"[-1,-1,-2,1,-2,3,-2,3,-2,-4,3,-4]"
11a_55,"[1,1,-2,1,3,-2,-2,-2,-2,-2,3]"
11a_56,"[1,1,2,-1,2,1,-3,2,-3,-3,-3,-4,3,-4]"
11a_57,"[-1,-1,-1,-1,2,2,1,3,-2,-2,-2,3,3]"
11a_58,"[1,1,-2,1,-2,-3,2,4,-3,-3,-3,4]"
11a_59,"[1,1,-2,1,-2,-3,2,-3,-4,3,5,-4,5]"
11a_60,"[1,1,1,1,-2,1,3,2,2,-4,3,-4]"
11a_61,"[1,1,2,-1,2,-3,2,4,3,3,-5,4,-5]"
11a_62,"[-1,-1,-1,-1,-1,2,-1,-1,-3,2,-3]"
11a_63,"[-1,-1,-2,1,-2,-2,3,-2,-2,-4,3,-4]"
11a_64,"[-1,-1,-1,-1,-2,1,3,-2,-2,-4,3,-4]"
11a_65,"[-1,-1,-1,-2,1,-2,-3,2,4,-3,-5,4,-5]"
11a_66,"[-1,-1,-1,2,-1,2,2,-1,-3,2,-3]"
11a_67,"[-1,-1,-2,1,3,-2,3,3,-2,-4,3,-4]"
11a_68,"[-1,2,-1,2,2,2,2,-1,-3,2,-3]"
11a_69,"[1,1,2,-1,2,2,-3,2,-3,-3,-2,-4,3,-4]"
11a_70,"[1,1,1,-2,1,3,-2,-1,3,-4,3,-2,3,-4]"
11a_71,"[1,1,-2,1,-2,1,-2,3,-2,3,3]"
11a_72,"[1,1,-2,1,-2,3,-2,-2,3,-2,3]"
11a_73,"[-1,2,-1,2,-1,2,-1,2,-3,2,-3]"
11a_74,"[-1,2,-1,2,2,2,-3,2,2,2,-3]"
11a_75,"[-1,2,-1,2,2,2,2,3,-2,-4,3,-4]"
11a_76,"[-1,-1,2,-1,2,-3,2,-1,-3,2,2]"
11a_77,"[-1,-1,-1,-2,1,-2,3,-2,3,-4,3,-4]"
11a_78,"[1,1,1,2,-1,2,-3,2,2,-4,3,-2,-4,-3]"
11a_79,"[-1,-1,2,-1,-1,2,-1,2,-3,2,-3]"
11a_80,"[-1,-1,2,-1,2,-1,2,2,-3,2,-3]"
11a_81,"[-1,2,-1,2,2,-1,2,2,-3,2,-3]"
11a_82,"[1,1,-2,1,-2,-2,3,-2,-2,-2,3]"
11a_83,"[1,1,1,-2,1,1,-2,3,-2,3,3]"
11a_84,"[1,1,-2,1,-2,-2,-2,-3,2,4,-3,4]"
11a_85,"[1,1,1,2,-1,-3,2,-3,4,-3,4,4]"
11a_86,"[-1,-1,2,2,2,2,-1,2,-3,2,-3]"
11a_87,"[1,1,2,-1,2,2,3,-2,-4,-3,2,-3,-3,-4]"
11a_88,"[-1,-1,-1,2,2,2,-1,2,-3,2,-3]"
11a_89,"[-1,2,-1,2,2,2,3,-2,3,-4,3,-4]"
11a_90,"[-1,-1,-1,2,-1,2,3,-2,3,-4,3,-4]"
11a_91,"[-1,-1,2,-1,2,2,3,-2,3,-4,3,-4]"
11a_92,"[-1,-1,-1,2,-1,-1,2,2,-3,2,-3]"
11a_93,"[-1,-1,-1,-2,1,3,-2,3,3,-4,3,-4]"
11a_94,"[1,1,1,1,2,2,-1,2,2,3,-2,3,3]"
11a_95,"[1,1,1,2,-1,2,2,3,-2,3,4,-3,4,4]"
11a_96,"[-1,2,-1,2,-3,2,4,-3,-5,4,-5]"
11a_97,"[-1,-1,-2,1,3,3,3,-2,3,-4,3,-4]"
11a_98,"[-1,-1,-2,1,3,-2,3,4,-3,4,-5,4,-5]"
11a_99,"[-1,2,-1,2,-3,2,2,-3,2,2,-3]"
11a_100,"[1,1,-2,1,3,2,2,2,3,-4,3,-4]"
11a_101,"[1,1,1,2,-1,-3,-2,-2,4,3,-2,3,3,4]"
11a_102,"[1,1,-2,1,3,-2,-1,-4,3,-2,3,3,3,-4]"
11a_103,"[1,1,2,-1,2,-3,2,2,4,-3,-2,-5,4,-3,-5]"
11a_104,"[1,1,1,2,-1,3,-2,-1,3,-2,-4,3,-2,-4]"
11a_105,"[1,1,1,-2,1,3,2,2,2,-4,3,-4]"
11a_106,"[1,1,-2,1,3,-2,-2,-2,-2,3,3]"
11a_107,"[-1,-1,-2,1,-2,-2,-3,2,4,3,3,3,4,4]"
11a_108,"[1,1,-2,-2,-2,1,-2,-2,3,-2,3]"
11a_109,"[1,1,-2,1,-2,3,-2,-2,-2,3,3]"
11a_110,"[1,1,-2,1,-2,-3,2,-3,-3,4,-3,4]"
11a_111,"[1,1,-2,1,-2,-2,-3,2,4,-3,4,4]"
11a_112,"[-1,-1,2,-1,-3,2,-1,2,2,2,-3]"
11a_113,"[-1,-1,-1,2,-1,-1,-3,2,-1,2,-3]"
11a_114,"[1,1,1,2,-1,3,2,2,-4,3,-2,3,-4,-4]"
11a_115,"[1,1,1,2,-1,-3,-2,-2,-2,4,3,-2,3,4]"
11a_116,"[1,1,1,2,-1,-3,-2,1,4,3,-2,3,4,4]"
11a_117,"[1,1,1,2,-1,2,-3,2,4,-3,4,4]"
11a_118,"[-1,2,-1,2,3,-2,3,-4,3,3,3,-4]"
11a_119,"[-1,2,-1,2,3,-2,3,3,4,-3,-5,4,-5]"
11a_120,"[-1,-1,-1,-2,1,-2,-2,3,-2,-4,3,-4]"
11a_121,"[-1,2,-1,-3,2,-3,4,-3,-5,4,-5]"
11a_122,"[-1,-1,-2,1,3,-2,-2,-4,3,-2,3,-4]"
11a_123,"[1,1,1,2,-1,2,3,-2,3,2,-4,3,-2,3,4,4]"
11a_124,"[1,1,1,2,2,-3,2,-1,2,3,3,3,2]"
11a_125,"[1,1,-2,1,3,-2,1,-2,3,3,-2]"
11a_126,"[1,1,-2,-2,3,-2,1,-2,3,3,-2]"
11a_127,"[1,1,-2,1,1,-2,1,3,-2,3,3]"
11a_128,"[1,-2,-1,3,-2,-1,3,-2,-4,3,5,-4,5]"
11a_129,"[-1,-1,-1,2,-1,-1,-3,2,-1,-3,2]"
11a_130,"[-1,-1,-2,1,3,-2,-2,-4,3,-2,-4,3]"
11a_131,"[-1,-1,2,-1,-1,-3,2,-1,2,2,-3]"
11a_132,"[1,1,1,-2,1,1,3,-2,-1,3,-2,-4,3,-4]"
11a_133,"[1,1,2,-1,-3,2,4,3,3,3,-5,4,-5]"
11a_134,"[1,1,-2,1,3,2,2,2,-4,3,-4,-4]"
11a_135,"[-1,2,-1,2,-3,2,-1,2,3,-4,3,-4]"
11a_136,"[-1,-1,-2,3,-2,1,-2,-4,3,-2,3,-4]"
11a_137,"[-1,-1,2,-1,2,1,3,-2,-1,-4,3,-2,-4,3]"
11a_138,"[1,1,-2,1,-2,1,3,-2,-1,3,-2,-4,3,-4]"
11a_139,"[1,1,1,-2,1,3,-2,-2,-2,3,3]"
11a_140,"[1,1,1,-2,1,-2,-3,2,4,-3,4,4]"
11a_141,"[-1,-1,2,-1,2,-1,2,3,-2,-4,3,-4]"
11a_142,"[-1,-1,-1,-1,2,-1,-1,-1,-3,2,-3]"
11a_143,"[-1,-1,-2,1,-2,3,-2,-2,-2,-4,3,-4]"
11a_144,"[-1,-1,-1,-1,-1,-2,1,3,-2,-4,3,-4]"
11a_145,"[-1,-1,-2,1,-2,-2,-3,2,4,-3,-5,4,-5]"
11a_146,"[-1,-1,-1,2,-1,-3,2,-1,2,2,-3]"
11a_147,"[1,1,-2,1,3,-2,1,3,3,-2,-2]"
